Time                p[2016370]     p[2016375]     p[2052243]     p[2052248]     p[2052706]     p[2053166]     p[2053541]     p[2053916]
3.692400e+00       1604.841366    1174.906370     759.417840     527.203748     478.295345     408.715428     322.928008     284.903888
3.692700e+00       1621.224441    1195.915291     778.823683     535.942259     466.482135     426.115778     376.821230     325.473866
3.693000e+00       1656.548052    1223.378374     792.427519     531.692475     463.368236     431.879779     356.166337     273.018896
3.693300e+00       1648.849791    1213.470366     783.445080     537.899738     452.737793     428.470881     350.515150     233.492148
3.693600e+00       1665.074675    1229.714013     800.113094     552.343103     452.638602     438.818834     360.695852     304.392181
3.693900e+00       1653.699364    1210.010119     764.851118     504.950722     433.018439     431.024088     357.190890     324.839951
3.694200e+00       1628.655836    1188.844524     757.285293     510.765169     423.630772     442.043185     366.722823     304.598082
3.694500e+00       1643.875389    1205.973428     771.664999     517.265360     414.731267     428.366800     368.014002     341.227424
3.694800e+00       1652.760982    1216.225565     784.447433     529.163058     401.419332     427.938320     374.224748     328.342685
3.695100e+00       1644.707373    1206.670753     776.424480     512.279937     388.997898     416.181180     360.853157     254.974591
3.695400e+00       1663.809909    1222.021014     781.967248     529.613201     384.546336     429.285342     397.517383     333.430583
3.695700e+00       1687.974944    1240.204976     782.887082     475.456051     361.213162     412.491342     385.299688     335.058080
3.696000e+00       1693.629213    1250.892978     805.183068     542.276049     379.311668     412.483241     353.571472     318.395236
3.696300e+00       1701.481229    1249.049388     799.637092     549.807625     368.232396     391.948477     317.678842     319.308658
3.696600e+00       1700.812660    1248.260382     793.178382     540.018844     362.576623     400.532000     380.439134     319.121864
3.696900e+00       1672.991601    1210.999482     754.010731     505.075560     365.643997     400.551813     402.469143     341.384868
3.697200e+00       1664.761609    1208.099774     753.342655     494.947061     354.893452     386.123681     412.287255     338.676979
3.697500e+00       1676.963917    1226.104369     778.136242     534.161347     360.535043     394.470969     405.197719     310.045203
3.697800e+00       1692.169859    1241.988244     791.841041     542.646220     364.632908     401.497239     422.138661     304.868089
3.698100e+00       1688.762188    1234.852701     777.777430     512.694608     366.547069     401.665563     435.949785     350.894154
3.698400e+00       1669.636329    1227.040235     783.263242     529.523482     367.971521     381.172607     425.253701     340.651162
3.698700e+00       1655.603011    1212.539776     772.076272     524.500725     376.764803     392.898254     427.400561     343.326253
3.699000e+00       1654.755841    1208.203502     762.149510     521.571809     369.589399     401.901946     420.298160     344.174008
3.699300e+00       1662.574980    1210.599264     754.765458     506.294046     376.447923     401.604853     432.816565     339.083851
3.699600e+00       1656.746998    1180.494167     692.235545     470.795676     380.597749     404.517699     433.996158     358.338926
3.699900e+00       1679.028707    1219.698408     751.962217     516.278535     393.140520     391.646942     439.611614     369.775951
3.700200e+00       1689.981691    1233.610108     769.971567     527.399779     406.561155     422.065004     448.766292     369.136617
3.700500e+00       1679.082606    1217.910810     743.632436     487.538759     377.527553     403.740153     409.857172     333.900937
3.700800e+00       1654.728371    1192.464038     724.621684     441.014428     401.397841     418.638797     428.747279     368.273154
3.701100e+00       1598.813346    1131.571464     674.003758     429.656869     412.639661     435.192889     438.064952     347.746915
3.701400e+00       1612.799886    1153.079362     702.131978     470.380570     420.177495     443.362280     448.654351     383.384727
3.701700e+00       1633.282223    1178.570590     731.082547     491.382189     415.728428     439.811913     416.694635     354.474995
3.702000e+00       1632.635111    1174.780246     720.217562     476.488603     428.811921     460.862204     429.586749     373.893504
