Time                 p[297735]      p[297738]      p[297740]      p[297743]      p[298073]      p[312768]      p[313164]      p[313898]
7.416000e-01       3571.648336    3004.826397    2416.784582    1475.515931       0.000000       0.000000       0.000000       0.000000
7.422000e-01       3447.717142    2899.512156    2264.915195    1581.749772       0.000000       0.000000       0.000000       0.000000
7.428000e-01       3557.338820    3343.492710    2794.249927    2053.319643       0.000000       0.000000       0.000000       0.000000
7.434000e-01       3363.985723    3029.366623    2418.309176    1610.295718       0.000000       0.000000       0.000000       0.000000
7.440000e-01       3248.929216    2936.974547    2152.931580    1342.891597       0.000000       0.000000       0.000000       0.000000
7.446000e-01       3308.533209    3155.747396    2531.352160     523.062348       0.000000       0.000000       0.000000       0.000000
7.452000e-01       3549.438691    3263.632314    2410.258197     707.257044       0.000000       0.000000       0.000000       0.000000
7.458000e-01       3514.889451    3179.326121    2208.451315     916.483934       0.000000       0.000000       0.000000       0.000000
7.464000e-01       3355.471072    3091.880422    2202.962235    1022.427109       0.000000       0.000000       0.000000       0.000000
7.470000e-01       2965.395968    2320.018578    1780.269753    1035.855989       0.000000       0.000000       0.000000       0.000000
7.476000e-01       3509.372670    3059.517507    2326.820387    1395.465131       0.000000       0.000000       0.000000       0.000000
7.482000e-01       3699.954892    3183.173314    2427.753818    1534.606713       0.000000       0.000000       0.000000       0.000000
7.488000e-01       3623.534292    2987.308375    2103.532283     987.525396       0.000000       0.000000       0.000000       0.000000
7.494000e-01       3789.009825    3332.190865    2516.817247    1401.993275       0.000000       0.000000       0.000000       0.000000
7.500000e-01       3785.093144    3281.902812    2432.005369    1444.242246       0.000000       0.000000       0.000000       0.000000
7.506000e-01       3845.213238    3435.161462    2907.649963    2218.886783       0.000000       0.000000       0.000000       0.000000
7.512000e-01       3798.116232    3073.035770    1848.486523    1755.706845       0.000000       0.000000       0.000000       0.000000
7.518000e-01       3761.771475    3227.349310    2193.205932    1630.787908       0.000000       0.000000       0.000000       0.000000
7.524000e-01       3931.464430    3430.562781    2331.648361     896.045343       0.000000       0.000000       0.000000       0.000000
7.530000e-01       4070.854075    3825.410324    3052.796915    1463.136345       0.000000       0.000000       0.000000       0.000000
7.536000e-01       3806.813088    3615.621334    2983.804440    1889.449879       0.000000       0.000000       0.000000       0.000000
7.542000e-01       3999.889754    3978.572806    3499.184203    1952.390508       0.000000       0.000000       0.000000       0.000000
7.548000e-01       3558.198239    3049.574835    2103.668910    1642.391654       0.000000       0.000000       0.000000       0.000000
7.554000e-01       3767.419270    3473.386827    2623.373142    1684.903658       0.000000       0.000000       0.000000       0.000000
7.560000e-01       3733.158674    3600.886124    2865.569481    2176.430796       0.000000       0.000000       0.000000       0.000000
7.566000e-01       4073.834369    3911.679940    3188.774910    2539.166054       0.000000       0.000000       0.000000       0.000000
7.572000e-01       3980.711162    3743.210598    2854.933879    2359.308168       0.000000       0.000000       0.000000       0.000000
7.578000e-01       4195.540557    3981.120177    3076.389605    2519.219754       0.000000       0.000000       0.000000       0.000000
7.584000e-01       4117.026800    4106.802935    3377.258770    2764.668748       0.000000       0.000000       0.000000       0.000000
7.590000e-01       3722.460532    3532.280345    2770.324341    2326.423210       0.000000       0.000000       0.000000       0.000000
7.596000e-01       3904.148837    3932.150299    3487.924524    2574.784154       0.000000       0.000000       0.000000       0.000000
7.602000e-01       3624.772352    3535.851103    3001.001351    1768.065875       0.000000       0.000000       0.000000       0.000000
7.608000e-01       3872.202341    3827.909500    3338.970739    1201.049075       0.000000       0.000000       0.000000       0.000000
7.614000e-01       3935.959338    3840.734729    3251.302026      62.754226       0.000000       0.000000       0.000000       0.000000
7.620000e-01       3898.300455    3941.569827    3520.669342     750.970689       0.000000       0.000000       0.000000       0.000000
7.626000e-01       4187.819099    4127.252194    3844.726933    1356.858825       0.000000       0.000000       0.000000       0.000000
7.632000e-01       4018.140457    3822.428245    3491.950010    1378.581601       0.000000       0.000000       0.000000       0.000000
7.638000e-01       3786.060467    3556.330534    2809.196469    1665.849823       0.000000       0.000000       0.000000       0.000000
