Time                  p[54016]       p[54018]       p[54019]       p[54020]       p[54036]       p[54194]       p[54352]       p[54668]
1.237200e+00       2454.267332    2363.974886    1323.886797     611.846417       0.000000       0.000000       0.000000       0.000000
1.238400e+00       2648.686202    2536.389839    1472.646072     879.403035       0.000000       0.000000       0.000000       0.000000
1.239600e+00       2424.784209    2373.067228    1384.894585    1022.208393       0.000000       0.000000       0.000000       0.000000
1.240800e+00       1567.260969    1879.568984    1079.924453    1002.899347       0.000000       0.000000       0.000000       0.000000
1.242000e+00       1650.965657    1874.985181    1002.970765    1220.950211       0.000000       0.000000       0.000000       0.000000
1.243200e+00       1927.973266    2139.487290    1302.304009    1526.766522       0.000000       0.000000       0.000000       0.000000
1.244400e+00       1726.582878    1672.190600    1190.979116    1529.622333       0.000000       0.000000       0.000000       0.000000
1.245600e+00       1804.233091    1723.140688    1234.783398    1510.436799       0.000000       0.000000       0.000000       0.000000
1.246800e+00       2092.193970    1795.028035    1260.702472    1447.695809       0.000000       0.000000       0.000000       0.000000
1.248000e+00       2444.597789    2138.410789    1573.404934    1546.112520       0.000000       0.000000       0.000000       0.000000
1.249200e+00       2791.923900    2400.665180    1813.891661    1565.583141       0.000000       0.000000       0.000000       0.000000
1.250400e+00       3037.264846    2407.837727    1398.776930       0.000000      36.843649       0.000000       0.000000       0.000000
1.251600e+00       2607.028634    2107.954814    1424.463518     153.572822       0.000000       0.000000       0.000000       0.000000
1.252800e+00       2719.411234    2251.590679    1688.829726     176.969560       0.000000       0.000000       0.000000       0.000000
1.254000e+00       2781.296485    2271.043087    1847.513036     245.835445       0.000000       0.000000       0.000000       0.000000
1.255200e+00       3031.045306    2443.075191    2106.816011     410.681282     240.703013       0.000000       0.000000       0.000000
1.256400e+00       2740.858719    2118.693003    1854.750767      50.051193     213.599012       0.000000       0.000000       0.000000
1.257600e+00       3257.419986    2481.401309    2197.810183     233.063948     622.318868       0.000000       0.000000       0.000000
1.258800e+00       2645.160819    2051.341972    1957.149566      18.139300     303.954984       0.000000       0.000000       0.000000
1.260000e+00       2978.165281    2350.795846    2288.493040     248.814352     350.593585       0.000000       0.000000       0.000000
1.261200e+00       2334.351179    2021.460077    2060.999081       0.000000      37.006132       0.000000       0.000000       0.000000
1.262400e+00       2651.019877    2208.119502    2296.094060      63.108448      78.903913       0.000000       0.000000       0.000000
1.263600e+00       2692.720303    2178.075208    2336.672299     130.508974       0.000000       0.000000       0.000000       0.000000
1.264800e+00       2971.542601    2319.309872    2510.607916     322.100550     142.180274       0.000000       0.000000       0.000000
1.266000e+00       2742.144774    2079.344513    2214.737256     160.114862     159.854809       0.000000       0.000000     263.663196
1.267200e+00       2533.454710    1367.694518    1554.121855       0.000000      47.821716       0.000000       0.000000      65.051596
1.268400e+00       2753.301351    1696.359944    1968.103620     118.609479     148.986234       0.000000       0.000000     882.903053
1.269600e+00       2973.637824    1848.435785    2152.766020     215.707922     332.898292       0.000000       0.000000    3009.063002
1.270800e+00       2567.713563    1686.253257    2369.955901     891.308503     377.799953       0.000000       0.000000    1384.769919
1.272000e+00       2350.288393    1613.184352    2365.130405    1124.955935     435.844733       0.000000       0.000000     321.965877
1.273200e+00       2393.306716    1475.930259    2183.654333    1219.820256     418.900173       0.000000       0.000000    1148.467125
1.274400e+00       2566.964664    1594.248489    2175.075410    1249.967864     150.552312       0.000000       0.000000    1558.987732
1.275600e+00       2792.340511    1796.731066    2302.132813    1409.787447     625.786177       0.000000       0.000000    1797.589624
1.276800e+00       2780.313809    1846.445431    2287.676350    1423.422226    1055.606627       0.000000       0.000000    2001.944080
